city,st,location,lat,lon
Adair Village,OR,"Adair Village, OR",44.6706762,-123.2178759
Adrian,OR,"Adrian, OR",43.7407155,-117.0718261
Agness,OR,"Agness, OR",42.5568876,-124.0633122
Albany,OR,"Albany, OR",44.6365107,-123.1059282
Aloha,OR,"Aloha, OR",45.4942838,-122.8670454
Alsea,OR,"Alsea, OR",44.3818831,-123.5970325
Amity,OR,"Amity, OR",45.1156724,-123.2073257
Antelope,OR,"Antelope, OR",44.9106819,-120.7228172
Applegate,OR,"Applegate, OR",42.2570662,-123.1683833
Arlington,OR,"Arlington, OR",45.716796,-120.2008761
Arock,OR,"Arock, OR",42.913785,-117.5258057
Ashland,OR,"Ashland, OR",42.1945758,-122.7094767
Ashwood,OR,"Ashwood, OR",44.7337386,-120.7544782
Astoria,OR,"Astoria, OR",46.1878841,-123.8312534
Athena,OR,"Athena, OR",45.8117992,-118.4905251
Aumsville,OR,"Aumsville, OR",44.8409548,-122.8709243
Aurora,OR,"Aurora, OR",45.2309536,-122.7559267
Azalea,OR,"Azalea, OR",42.7953981,-123.2603401
Baker City,OR,"Baker City, OR",44.7748748,-117.8343848
Bandon,OR,"Bandon, OR",43.1189978,-124.408448
Banks,OR,"Banks, OR",45.6177756,-123.1144058
Barlow,OR,"Barlow, OR",45.2527657,-122.7226775
Bay City,OR,"Bay City, OR",45.5226042,-123.889296
Beatty,OR,"Beatty, OR",42.441815,-121.2708314
Beaver Creek,OR,"Beaver Creek, OR",45.2879294,-122.5353423
Beavercreek,OR,"Beavercreek, OR",45.2879294,-122.5353423
Beaverton,OR,"Beaverton, OR",45.4887993,-122.8013332
Bend,OR,"Bend, OR",44.0581728,-121.3153096
Beverton,OR,"Beverton, OR",45.4887993,-122.8013332
Blachly,OR,"Blachly, OR",44.1948163,-123.5350464
Blodgett,OR,"Blodgett, OR",44.5962833,-123.5210677
Bly,OR,"Bly, OR",42.3979851,-121.0428654
Boardman,OR,"Boardman, OR",45.839855,-119.7005834
Bonanza,OR,"Bonanza, OR",42.1987607,-121.4061076
Boring,OR,"Boring, OR",45.4313662,-122.3734641
Brightwood,OR,"Brightwood, OR",45.3762302,-122.0167481
Brogan,OR,"Brogan, OR",44.2460893,-117.5117698
Brookings,OR,"Brookings, OR",42.0526114,-124.2839819
Brooks,OR,"Brooks, OR",45.048175,-122.9584291
Brownsville,OR,"Brownsville, OR",44.3934571,-122.9848108
Burns Paiute,OR,"Burns Paiute, OR",43.613443,-119.074259
Burns,OR,"Burns, OR",43.5862606,-119.0541032
Butte Falls,OR,"Butte Falls, OR",42.5431843,-122.5655886
Buxton,OR,"Buxton, OR",45.6887233,-123.1909455
Callahan,CA,"Callahan, CA",41.3095884,-122.8014177
Camas Valley,OR,"Camas Valley, OR",43.0333629,-123.6739646
Canby,OR,"Canby, OR",45.262205,-122.6921558
Cannon Beach,OR,"Cannon Beach, OR",45.8917738,-123.9615274
Canyon City,OR,"Canyon City, OR",44.3895995,-118.9502315
Canyonville,OR,"Canyonville, OR",42.9273406,-123.2811748
Carlton,OR,"Carlton, OR",45.2942902,-123.1796697
Cascade Locks,OR,"Cascade Locks, OR",45.6698392,-121.8906355
Castella,CA,"Castella, CA",41.1384854,-122.3177877
Cave Junction,OR,"Cave Junction, OR",42.1628912,-123.6481235
Central Point,OR,"Central Point, OR",42.3759586,-122.9164307
Chemult,OR,"Chemult, OR",43.2165182,-121.7831612
Cheshire,OR,"Cheshire, OR",44.1895675,-123.2856507
Chiloquin,OR,"Chiloquin, OR",42.5776364,-121.8661258
Christmas Valley,OR,"Christmas Valley, OR",43.237797,-120.6708853
Clackamas,OR,"Clackamas, OR",45.4076205,-122.5703692
Clatskanie,OR,"Clatskanie, OR",46.1041322,-123.2039079
Cloverdale Or,OR,"Cloverdale Or, OR",45.2055135,-123.8879045
Cloverdale,OR,"Cloverdale, OR",45.2055135,-123.8879045
Coburg,OR,"Coburg, OR",44.1370689,-123.0664761
Colton,OR,"Colton, OR",45.1721192,-122.4374803
Columbia City,OR,"Columbia City, OR",45.8932123,-122.8119681
Condon,OR,"Condon, OR",45.2342966,-120.1850344
Coos Bay,OR,"Coos Bay, OR",43.3665007,-124.2178903
Coquille,OR,"Coquille, OR",43.1770544,-124.1876075
Corbett,OR,"Corbett, OR",45.5317887,-122.2912175
Cornelius,OR,"Cornelius, OR",45.5202273,-123.0470343
Corvallis,OR,"Corvallis, OR",44.5645659,-123.2620435
Cottage Grove,OR,"Cottage Grove, OR",43.797623,-123.0595246
Cove,OR,"Cove, OR",45.2965256,-117.8079872
Crabtree,OR,"Crabtree, OR",44.6353266,-122.8986429
Crane,OR,"Crane, OR",43.4166527,-118.5786837
Crescent,OR,"Crescent, OR",43.4623474,-121.6955803
Creswell,OR,"Creswell, OR",43.9179023,-123.0245261
Crooked River Ranch,OR,"Crooked River Ranch, OR",44.4245638,-121.2383729
Culver,OR,"Culver, OR",44.5256753,-121.2130974
Dairy,OR,"Dairy, OR",42.2351468,-121.52111
Dale,OR,"Dale, OR",44.9884873,-118.9474744
Dallas,OR,"Dallas, OR",44.9192844,-123.3170472
Damascus,OR,"Damascus, OR",45.4176209,-122.4589783
Days Creek,OR,"Days Creek, OR",42.9723883,-123.1729844
Dayton,OR,"Dayton, OR",45.2163886,-123.0835549
Dayville,OR,"Dayville, OR",44.4682007,-119.5358103
Deadwood,OR,"Deadwood, OR",44.0956754,-123.7634387
Deer Island,OR,"Deer Island, OR",45.9321957,-122.8451357
Depoe Bay,OR,"Depoe Bay, OR",44.8084467,-124.0631713
Detroit,OR,"Detroit, OR",44.7340108,-122.1497982
Dexter,OR,"Dexter, OR",43.915959,-122.8228506
Diamond Lake,OR,"Diamond Lake, OR",43.1736956,-122.1521466
Diamond,OR,"Diamond, OR",43.0123203,-118.6658412
Dillard,OR,"Dillard, OR",43.1028939,-123.4278501
Donald,OR,"Donald, OR",45.2223418,-122.8392624
Dorena,OR,"Dorena, OR",43.7198452,-122.8620118
Dorris,CA,"Dorris, CA",41.9673696,-121.91806
Drain,OR,"Drain, OR",43.6587309,-123.3186987
Drewsey,OR,"Drewsey, OR",43.8071385,-118.3786823
Dufur,OR,"Dufur, OR",45.4531754,-121.1306244
Dundee,OR,"Dundee, OR",45.2795854,-123.0095137
Dunes City,OR,"Dunes City, OR",43.8831751,-124.1151165
Dunsmuir,CA,"Dunsmuir, CA",41.2082089,-122.2719529
Durham,OR,"Durham, OR",45.3934963,-122.755576
Durkee,OR,"Durkee, OR",44.5812646,-117.463958
Eagle Creek,OR,"Eagle Creek, OR",45.3575239,-122.3588744
Eagle Point,OR,"Eagle Point, OR",42.4726258,-122.8028177
Echo,OR,"Echo, OR",45.7423537,-119.195567
Eddyville,OR,"Eddyville, OR",44.6345632,-123.7764999
Elgin,OR,"Elgin, OR",45.5648612,-117.917434
Elkton,OR,"Elkton, OR",43.6376174,-123.568152
Elmira,OR,"Elmira, OR",44.068663,-123.3546445
Enterprise,OR,"Enterprise, OR",45.4262617,-117.2787816
Estacada,OR,"Estacada, OR",45.2944367,-122.3338032
"Estacada, Or",OR,"Estacada, Or, OR",45.2944367,-122.3338032
Etna,CA,"Etna, CA",41.4568065,-122.8947551
Eugene,OR,"Eugene, OR",44.0520691,-123.0867536
Fairview,OR,"Fairview, OR",45.5425469,-122.4333089
Fall Creek,OR,"Fall Creek, OR",43.9595707,-122.8203521
Falls City,OR,"Falls City, OR",44.8662285,-123.4359382
Finn Rock,OR,"Finn Rock, OR",44.1290148,-122.3828395
Florence,OR,"Florence, OR",43.9826214,-124.099841
Forest Grove,OR,"Forest Grove, OR",45.5263514,-123.1208596
Fort Jones,CA,"Fort Jones, CA",41.6076387,-122.8403099
Fossil,OR,"Fossil, OR",44.9981864,-120.2161373
Foster,OR,"Foster, OR",44.4104024,-122.6723066
Gales Creek,OR,"Gales Creek, OR",45.5865011,-123.2148333
Gardiner,OR,"Gardiner, OR",43.7302934,-124.110418
Gaston,OR,"Gaston, OR",45.4363004,-123.1396147
Gates,OR,"Gates, OR",44.7562329,-122.4167483
Gazelle,CA,"Gazelle, CA",41.5207015,-122.5202995
Gearhart,OR,"Gearhart, OR",46.0242745,-123.9112502
Gervais,OR,"Gervais, OR",45.1081752,-122.8975952
Gilchrist,OR,"Gilchrist, OR",43.4770694,-121.6853026
Gladstone,OR,"Gladstone, OR",45.3842943,-122.5973104
Glendale,OR,"Glendale, OR",42.7362284,-123.4233992
Gleneden Beach,OR,"Gleneden Beach, OR",44.8814151,-124.034593
Glide,OR,"Glide, OR",43.3015069,-123.1011754
Gold Beach,OR,"Gold Beach, OR",42.4073334,-124.4217741
Gold Hill,OR,"Gold Hill, OR",42.4317894,-123.0506035
Grand Ronde,OR,"Grand Ronde, OR",45.060113,-123.6092771
Grants Pass,OR,"Grants Pass, OR",42.4390069,-123.3283925
Grantspass,OR,"Grantspass, OR",42.4390069,-123.3283925
Greenleaf,OR,"Greenleaf, OR",44.1137317,-123.6670483
Greenview,CA,"Greenview, CA",41.5506936,-122.905589
Grenada,CA,"Grenada, CA",41.6403585,-122.5267628
Gresham,OR,"Gresham, OR",45.5098388,-122.4347334
Haines,OR,"Haines, OR",44.9115341,-117.9388288
Halfway,OR,"Halfway, OR",44.880715,-117.1146172
Halsey,OR,"Halsey, OR",44.3840122,-123.1098145
Hammond,OR,"Hammond, OR",46.1993123,-123.9520588
Happy Camp,CA,"Happy Camp, CA",41.792654,-123.3785705
Happy Valley,OR,"Happy Valley, OR",45.4469139,-122.5309127
Harbor,OR,"Harbor, OR",42.0531665,-124.2675917
Harrisburg,OR,"Harrisburg, OR",44.2740123,-123.170648
Hebo,OR,"Hebo, OR",45.2293014,-123.8594655
Helix,OR,"Helix, OR",45.8506443,-118.6582318
Heppner,OR,"Heppner, OR",45.3531842,-119.5577997
Hermiston,OR,"Hermiston, OR",45.8404101,-119.2894604
Hillsboro,OR,"Hillsboro, OR",45.5200114,-122.9365835
Hines,OR,"Hines, OR",43.5640385,-119.0810481
Hood River,OR,"Hood River, OR",45.7053966,-121.5214623
Hornbrook,CA,"Hornbrook, CA",41.9101394,-122.5558584
Hubbard,OR,"Hubbard, OR",45.1823423,-122.8078717
Huntington,OR,"Huntington, OR",44.3512726,-117.2665686
Idleyld Park,OR,"Idleyld Park, OR",43.3237296,-123.0239511
Imbler,OR,"Imbler, OR",45.4595816,-117.9621587
Imnaha,OR,"Imnaha, OR",45.5593227,-116.8332066
Independence,OR,"Independence, OR",44.8512305,-123.1867656
Ione,OR,"Ione, OR",45.5012431,-119.8247508
Irrigon,OR,"Irrigon, OR",45.8956885,-119.4914118
Island City,OR,"Island City, OR",45.3409671,-118.0446618
Jacksonville,OR,"Jacksonville, OR",42.3134584,-122.9669865
Jasper,OR,"Jasper, OR",43.996515,-122.9061904
Jefferson,OR,"Jefferson, OR",44.7195662,-123.0103708
John Day,OR,"John Day, OR",44.4159883,-118.95301
Johnson City,OR,"Johnson City, OR",45.4049709,-122.5806713
Jordan Valley,OR,"Jordan Valley, OR",42.9740445,-117.0543037
Joseph,OR,"Joseph, OR",45.3543187,-117.2296127
Junction City,OR,"Junction City, OR",44.2192901,-123.2056484
Keizer,OR,"Keizer, OR",44.9901194,-123.0262077
Keno,OR,"Keno, OR",42.1258699,-121.930338
Kerby,OR,"Kerby, OR",42.1942797,-123.651735
Kimberly,OR,"Kimberly, OR",44.7593094,-119.6444397
King City,OR,"King City, OR",45.4026959,-122.8044946
Klamath Falls,OR,"Klamath Falls, OR",42.224867,-121.7816704
Klamath River,CA,"Klamath River, CA",41.8612461,-122.825589
La Grande,OR,"La Grande, OR",45.3245771,-118.0877188
La Pine,OR,"La Pine, OR",43.6703995,-121.503636
Lae Oswego,OR,"Lae Oswego, OR",45.4156817,-122.7159726
Lafayette,OR,"Lafayette, OR",45.2434865,-123.1121766
Lagrande,OR,"Lagrande, OR",45.3245771,-118.0877188
Lake Oswego,OR,"Lake Oswego, OR",45.4156817,-122.7159726
Lakeside,OR,"Lakeside, OR",43.5756704,-124.1751135
Lakeview,OR,"Lakeview, OR",42.1887721,-120.345792
Langlois,OR,"Langlois, OR",42.9236823,-124.4500174
Lapine,OR,"Lapine, OR",43.6703995,-121.503636
Leaburg,OR,"Leaburg, OR",44.1073492,-122.6770174
Lebanon,OR,"Lebanon, OR",44.5365119,-122.9070339
"Lebanon, Ore",OR,"Lebanon, Ore, OR",44.5365119,-122.9070339
Lexington,OR,"Lexington, OR",45.4451315,-119.6844694
Lincoln City,OR,"Lincoln City, OR",44.9581644,-124.0178914
Lostine,OR,"Lostine, OR",45.4873692,-117.4296256
Lowell,OR,"Lowell, OR",43.9184592,-122.7836822
Lyons,OR,"Lyons, OR",44.7745664,-122.6150855
Macdoel,CA,"Macdoel, CA",41.8268154,-122.0052851
Madras,OR,"Madras, OR",44.6334544,-121.1294872
Malin,OR,"Malin, OR",42.0126551,-121.4086021
Manzanita,OR,"Manzanita, OR",45.7184398,-123.9351354
Mapleton,OR,"Mapleton, OR",44.0312703,-123.8595462
Marcola,OR,"Marcola, OR",44.1732515,-122.8591736
Maupin,OR,"Maupin, OR",45.1751205,-121.0814491
Maywood Park,OR,"Maywood Park, OR",45.5527762,-122.5608799
Mccloud,CA,"Mccloud, CA",41.2557119,-122.1394487
Mckenzie Bridge,OR,"Mckenzie Bridge, OR",44.1751238,-122.1639473
Mcminnville,OR,"Mcminnville, OR",45.2101162,-123.1987163
Medford,OR,"Medford, OR",42.3265152,-122.8755949
Merlin,OR,"Merlin, OR",42.5183938,-123.4202832
Merrill,OR,"Merrill, OR",42.0251516,-121.6005501
Metolius,OR,"Metolius, OR",44.5865092,-121.1783761
Midland,OR,"Midland, OR",42.1303999,-121.8207951
Mill City,OR,"Mill City, OR",44.7540106,-122.4781385
Millersburg,OR,"Millersburg, OR",44.680955,-123.0614829
Milton-Freewater,OR,"Milton-Freewater, OR",45.9326346,-118.3877435
Milwaukie,OR,"Milwaukie, OR",45.4465323,-122.6323315
Mitchell,OR,"Mitchell, OR",44.566525,-120.153341
Molalla,OR,"Molalla, OR",45.1462914,-122.5756477
Monmouth,OR,"Monmouth, OR",44.8484524,-123.2339888
Monroe,OR,"Monroe, OR",44.3140116,-123.2967637
Montague,CA,"Montague, CA",41.7281985,-122.5278007
Mosier,OR,"Mosier, OR",45.6834528,-121.397295
Mount Angel,OR,"Mount Angel, OR",45.0678986,-122.8000917
Mount Hood Parkdale,OR,"Mount Hood Parkdale, OR",45.5198391,-121.5967417
Mount Shasta,CA,"Mount Shasta, CA",41.3098746,-122.3105666
Mt Angel,OR,"Mt Angel, OR",45.0678986,-122.8000917
Mt Shasta,CA,"Mt Shasta, CA",41.3098746,-122.3105666
Mt Vernon,OR,"Mt Vernon, OR",44.4176525,-119.1135709
Mt. Angel,OR,"Mt. Angel, OR",45.0678986,-122.8000917
Mt. Hood Parkdale,OR,"Mt. Hood Parkdale, OR",45.5378947,-121.568408
Mulino,OR,"Mulino, OR",45.2212415,-122.5816605
Myrtle Creek,OR,"Myrtle Creek, OR",43.0201173,-123.2931205
Myrtle Point,OR,"Myrtle Point, OR",43.064832,-124.138992
Nehalem,OR,"Nehalem, OR",45.7201074,-123.8940225
Neotsu,OR,"Neotsu, OR",45.0012245,-123.9812344
Neskowin,OR,"Neskowin, OR",45.1067722,-123.9842817
Neskwoin,OR,"Neskwoin, OR",45.1067722,-123.9842817
Newberg,OR,"Newberg, OR",45.3064628,-122.9469406
Newport,OR,"Newport, OR",44.6367836,-124.0534505
North Bend,OR,"North Bend, OR",43.4065012,-124.2242803
North Plains,OR,"North Plains, OR",45.5970077,-122.992888
North Powder,OR,"North Powder, OR",45.0284737,-117.9199386
Noti,OR,"Noti, OR",44.0590113,-123.4487105
Nyssa,OR,"Nyssa, OR",43.8768289,-116.9948804
O'biren,OR,"O'biren, OR",42.0668843,-123.7028585
O'brien,OR,"O'brien, OR",42.0668843,-123.7028585
Oakland,OR,"Oakland, OR",43.4220625,-123.2984101
Oakridge,OR,"Oakridge, OR",43.7465124,-122.4617159
Ontario,OR,"Ontario, OR",44.0265525,-116.9629378
Oregon City,OR,"Oregon City, OR",45.3363593,-122.6048473
Otis,OR,"Otis, OR",45.0242748,-123.9465021
Otter Rock,OR,"Otter Rock, OR",44.747208,-124.0615459
Oxbow,OR,"Oxbow, OR",44.9748785,-116.8629359
Pacific City,OR,"Pacific City, OR",45.2023263,-123.9628946
Paisley,OR,"Paisley, OR",42.6937634,-120.5460827
Parkdale,OR,"Parkdale, OR",45.5198391,-121.5967417
Pendleton,OR,"Pendleton, OR",45.672075,-118.7885967
Philomath,OR,"Philomath, OR",44.540121,-123.3676014
Phoenix,OR,"Phoenix, OR",42.2754058,-122.818092
Pilot Arock,OR,"Pilot Arock, OR",45.4831849,-118.8299848
Pilot Rock,OR,"Pilot Rock, OR",45.4831849,-118.8299848
Pleasant Hill,OR,"Pleasant Hill, OR",43.9674304,-122.9329131
Port Orford,OR,"Port Orford, OR",42.7456644,-124.4973267
Portlan,OR,"Portlan, OR",45.5122308,-122.6587185
Portland,OR,"Portland, OR",45.5122308,-122.6587185
Portlant,OR,"Portlant, OR",45.5122308,-122.6587185
Powell Butte,OR,"Powell Butte, OR",44.2476209,-121.0179143
Powellbutte,OR,"Powellbutte, OR",44.2476209,-121.0179143
Powers,OR,"Powers, OR",42.8834435,-124.073152
Prairie City,OR,"Prairie City, OR",44.4632135,-118.7099477
Prineville,OR,"Prineville, OR",44.2998485,-120.8344664
Prospect,OR,"Prospect, OR",42.754335,-122.4886972
Rainier,OR,"Rainier, OR",46.0891013,-122.9359008
Redmond,OR,"Redmond, OR",44.2726203,-121.1739212
Reedsport,OR,"Reedsport, OR",43.7023389,-124.0967779
Reno,NV,"Reno, NV",39.5296329,-119.8138027
Rhododendron,OR,"Rhododendron, OR",45.3295632,-121.9111906
Richland,OR,"Richland, OR",44.7690498,-117.1685112
Rickreall,OR,"Rickreall, OR",44.9322825,-123.2351038
Riddle,OR,"Riddle, OR",42.9509507,-123.3642332
Riley,OR,"Riley, OR",43.541538,-119.5038422
Rockaway Beach,OR,"Rockaway Beach, OR",45.613438,-123.9429115
Rogue River,OR,"Rogue River, OR",42.435954,-123.1719976
Roseburg,OR,"Roseburg, OR",43.216505,-123.3417381
Rufus,OR,"Rufus, OR",45.6948466,-120.7358936
Saint Helens,OR,"Saint Helens, OR",45.8589719,-122.8212299
Saint Paul,OR,"Saint Paul, OR",45.2112295,-122.9767662
Salem,OR,"Salem, OR",44.9428975,-123.0350963
Sandy,OR,"Sandy, OR",45.3975203,-122.2704417
Scappoose,OR,"Scappoose, OR",45.7544422,-122.8777897
Scio,OR,"Scio, OR",44.7048445,-122.8492562
Scott Bar,CA,"Scott Bar, CA",41.7417998,-123.0042036
Scotts Mills,OR,"Scotts Mills, OR",45.0428996,-122.6684215
Seal Rock,OR,"Seal Rock, OR",44.4971754,-124.0826621
Seaside,OR,"Seaside, OR",45.9931636,-123.9226385
Seiad Valley,CA,"Seiad Valley, CA",41.8404055,-123.1925489
Selma,OR,"Selma, OR",42.2793208,-123.6161053
Seneca,OR,"Seneca, OR",44.1345979,-118.9716139
Shady Cove,OR,"Shady Cove, OR",42.6150389,-122.8118529
Shedd,OR,"Shedd, OR",44.4615117,-123.1103714
Sheridan,OR,"Sheridan, OR",45.0992814,-123.3948291
Sherwood,OR,"Sherwood, OR",45.3562638,-122.8402122
Shewood,OR,"Shewood, OR",45.3562638,-122.8402122
Siletz,OR,"Siletz, OR",44.7217836,-123.9201129
Silver Lake,OR,"Silver Lake, OR",43.1278468,-121.0480986
Silverloop,OR,"Silverloop, OR",44.993161,-122.770606
Silverton,OR,"Silverton, OR",45.0051213,-122.7831455
Sisters,OR,"Sisters, OR",44.2909491,-121.5492119
Sixes,OR,"Sixes, OR",42.8196436,-124.4828025
South Beach,OR,"South Beach, OR",44.6127796,-124.0476815
Sprague River,OR,"Sprague River, OR",42.4554215,-121.5041702
Springfield,OR,"Springfield, OR",44.0462362,-123.0220289
St Helens,OR,"St Helens, OR",45.8589719,-122.8212299
St Paul,OR,"St Paul, OR",45.2112295,-122.9767662
St. Helens,OR,"St. Helens, OR",45.8589719,-122.8212299
St. Paul,OR,"St. Paul, OR",45.2112295,-122.9767662
Stanfield,OR,"Stanfield, OR",45.7804098,-119.2172351
Stayton,OR,"Stayton, OR",44.8006775,-122.7945333
Sublimity,OR,"Sublimity, OR",44.8295663,-122.7945335
Suherlin,OR,"Suherlin, OR",43.3901177,-123.3125763
Summer Lake,OR,"Summer Lake, OR",42.9728819,-120.7777762
Summerville,OR,"Summerville, OR",45.4884699,-118.0029941
Sunny Valley,OR,"Sunny Valley, OR",42.6390067,-123.3756188
Sunnyvalley,OR,"Sunnyvalley, OR",42.6390067,-123.3756188
Sunriver,OR,"Sunriver, OR",43.8693935,-121.4333539
Sutherlin,OR,"Sutherlin, OR",43.3901177,-123.3125763
Sweet Home,OR,"Sweet Home, OR",44.3976247,-122.7361958
Swisshome,OR,"Swisshome, OR",44.0578979,-123.7992733
Talent,OR,"Talent, OR",42.2456844,-122.7886462
Tangent,OR,"Tangent, OR",44.5412335,-123.1081497
Tenmile,OR,"Tenmile, OR",43.0962263,-123.5642445
Terrebone,OR,"Terrebone, OR",44.3528981,-121.1778129
Terrebonne,OR,"Terrebonne, OR",44.3528981,-121.1778129
The Dalles,OR,"The Dalles, OR",45.5945645,-121.1786823
Tidewater,OR,"Tidewater, OR",44.4112314,-123.9003916
Tigard,OR,"Tigard, OR",45.4186798,-122.7872599
Tillamook,OR,"Tillamook, OR",45.4562158,-123.8440137
Tiller,OR,"Tiller, OR",42.9284541,-122.9511651
Toledo,OR,"Toledo, OR",44.621507,-123.9384478
Trail,OR,"Trail, OR",42.6478403,-122.810476
Triangle Lake,OR,"Triangle Lake, OR",44.170677,-123.5789919
Troutdale,OR,"Troutdale, OR",45.5396297,-122.3920584
Tualatin,OR,"Tualatin, OR",45.3779317,-122.7819595
Tulelake,CA,"Tulelake, CA",41.9559884,-121.4774916
Turner,OR,"Turner, OR",44.8431766,-122.9528708
Tygh Valley,OR,"Tygh Valley, OR",45.247341,-121.17312
Umatilla,OR,"Umatilla, OR",45.9173549,-119.3425179
Umpqua,OR,"Umpqua, OR",43.3674511,-123.4546944
Union,OR,"Union, OR",45.2084696,-117.8652126
Unity,OR,"Unity, OR",44.4373835,-118.1927122
Vale,OR,"Vale, OR",43.9821055,-117.2382311
Vancouver,WA,"Vancouver, WA",45.6355146,-122.55783
Veneta,OR,"Veneta, OR",44.0487342,-123.3509294
Vernonia,OR,"Vernonia, OR",45.8586888,-123.1977937
Vida,OR,"Vida, OR",44.1470308,-122.5733529
Waldport,OR,"Waldport, OR",44.426786,-124.0687302
Wallowa,OR,"Wallowa, OR",45.5701445,-117.5282416
Walterville,OR,"Walterville, OR",44.0687379,-122.8039663
Walton,OR,"Walton, OR",44.0306767,-123.5853798
Warm Springs,OR,"Warm Springs, OR",44.7634519,-121.2661625
Warren,OR,"Warren, OR",45.8187717,-122.8501226
Warrenton,OR,"Warrenton, OR",46.1651049,-123.9237557
Wasco,OR,"Wasco, OR",45.5917918,-120.698113
Weed,CA,"Weed, CA",41.4226498,-122.3861269
Welches,OR,"Welches, OR",45.3384806,-121.9632168
West Linn,OR,"West Linn, OR",45.3707677,-122.6228367
West Salem,OR,"West Salem, OR",44.9503569,-123.070061
Westlake,OR,"Westlake, OR",43.8831751,-124.1151165
Weston,OR,"Weston, OR",45.813744,-118.424688
Westport,OR,"Westport, OR",46.1326105,-123.3748481
Wheeler,OR,"Wheeler, OR",45.688996,-123.8806879
White City,OR,"White City, OR",42.431618,-122.8354426
Wilbur,OR,"Wilbur, OR",43.32095,-123.3406306
Wilderville,OR,"Wilderville, OR",42.382338,-123.4670077
Willamina,OR,"Willamina, OR",45.0787251,-123.4859416
Williams,OR,"Williams, OR",42.2187354,-123.2739548
Wilsonville,OR,"Wilsonville, OR",45.3029903,-122.7726501
Winchester,OR,"Winchester, OR",43.2801161,-123.3536852
Winston,OR,"Winston, OR",43.1223383,-123.4125724
Wolf Creek,OR,"Wolf Creek, OR",42.6953954,-123.3953424
Wood Village,OR,"Wood Village, OR",45.5371398,-122.4184149
Woodburn,OR,"Woodburn, OR",45.143731,-122.8553724
Woodurn,OR,"Woodurn, OR",45.143731,-122.8553724
Yachats,OR,"Yachats, OR",44.3112312,-124.1048418
Yamhill,OR,"Yamhill, OR",45.3415313,-123.1878346
Yoncalla,OR,"Yoncalla, OR",43.5984531,-123.2834167
Yreka,CA,"Yreka, CA",41.7354186,-122.6344709